1969 	Janvier 	70 318
1968 	Décembre 	66 283
1968 	Novembre 	63 496
1968 	Octobre 	67 673
1968 	Septembre 	69 193
1968 	Août 	69 027
1968 	Juillet 	71 544
1968 	Juin 	70 355
1968 	Mai 	75 317
1968 	Avril 	71 719
1968 	Mars 	73 703
1968 	Février 	67 077
1968 	Janvier 	70 409
1967 	Décembre 	67 606
1967 	Novembre 	63 712
1967 	Octobre 	68 208
1967 	Septembre 	68 689
1967 	Août 	70 013
1967 	Juillet 	72 277
1967 	Juin 	71 045
1967 	Mai 	77 684
1967 	Avril 	73 777
1967 	Mars 	72 445
1967 	Février 	65 089
1967 	Janvier 	70 023
1966 	Décembre 	68 168
1966 	Novembre 	65 060
1966 	Octobre 	69 098
1966 	Septembre 	69 571
1966 	Août 	72 037
1966 	Juillet 	74 381
1966 	Juin 	74 129
1966 	Mai 	79 080
1966 	Avril 	75 285
1966 	Mars 	76 288
1966 	Février 	67 416
1966 	Janvier 	73 014
1965 	Décembre 	67 650
1965 	Novembre 	65 869
1965 	Octobre 	70 156
1965 	Septembre 	71 391
1965 	Août 	72 935
1965 	Juillet 	74 822
1965 	Juin 	73 132
1965 	Mai 	77 581
1965 	Avril 	74 441
1965 	Mars 	75 381
1965 	Février 	67 592
1965 	Janvier 	74 738
1964 	Décembre 	70 094
1964 	Novembre 	66 762
1964 	Octobre 	71 449
1964 	Septembre 	72 881
1964 	Août 	71 523
1964 	Juillet 	76 073
1964 	Juin 	73 946
1964 	Mai 	78 223
1964 	Avril 	75 562
1964 	Mars 	76 540
1964 	Février 	71 534
1964 	Janvier 	73 217
1963 	Décembre 	69 006
1963 	Novembre 	66 474
1963 	Octobre 	70 966
1963 	Septembre 	72 333
1963 	Août 	72 671
1963 	Juillet 	76 085
1963 	Juin 	72 129
1963 	Mai 	77 888
1963 	Avril 	74 497
1963 	Mars 	77 533
1963 	Février 	67 690
1963 	Janvier 	71 604
1962 	Décembre 	67 220
1962 	Novembre 	65 587
1962 	Octobre 	68 706
1962 	Septembre 	68 833
1962 	Août 	71 174
1962 	Juillet 	70 869
1962 	Juin 	68 454
1962 	Mai 	74 505
1962 	Avril 	70 128
1962 	Mars 	72 649
1962 	Février 	64 691
1962 	Janvier 	69 537
1961 	Décembre 	68 087
1961 	Novembre 	65 012
1961 	Octobre 	68 105
1961 	Septembre 	67 467
1961 	Août 	69 759
1961 	Juillet 	71 599
1961 	Juin 	69 854
1961 	Mai 	75 404
1961 	Avril 	72 534
1961 	Mars 	73 187
1961 	Février 	65 868
1961 	Janvier 	71 757
1960 	Décembre 	66 239
1960 	Novembre 	61 853
1960 	Octobre 	66 044
1960 	Septembre 	68 155
1960 	Août 	69 943
1960 	Juillet 	71 881
1960 	Juin 	68 962
1960 	Mai 	73 283
1960 	Avril 	68 782
1960 	Mars 	70 716
1960 	Février 	65 972
1960 	Janvier 	67 989
1959 	Décembre 	65 947
1959 	Novembre 	63 852
1959 	Octobre 	67 418
1959 	Septembre 	67 738
1959 	Août 	69 936
1959 	Juillet 	71 150
1959 	Juin 	67 763
1959 	Mai 	73 465
1959 	Avril 	71 319
1959 	Mars 	72 821
1959 	Février 	65 815
1959 	Janvier 	72 025
1958 	Décembre 	68 819
1958 	Novembre 	65 673
1958 	Octobre 	68 382
1958 	Septembre 	65 906
1958 	Août 	64 077
1958 	Juillet 	66 214
1958 	Juin 	67 490
